side,real_offset_kpc,model_offset_units,model_offset_kpc
left,218.6683445875933,219.76168631053127,218.6683445875933
right,227.63422142504444,228.77239253216968,227.63422142504444
mean,223.15128300631886,224.2670394213505,223.1512830063189
