filename,p,q,MSE,n_points
UGCA444_rotmod.dat,1.4597027067277062,2.9999999999999996,0.003140590211064063,36
UGCA442_rotmod.dat,2.0446490309919616,0.4854129605388501,0.0003296407305359193,8
UGCA281_rotmod.dat,1.9433056788799576,0.5817911365159703,0.0006159132862714342,7
UGC12732_rotmod.dat,0.7811115480611809,2.9999999999999996,0.001712591754041677,16
UGC12632_rotmod.dat,1.2739158591601536,0.679548670256896,0.0011087307106236912,15
UGC12506_rotmod.dat,0.6606284217414315,0.7565721995074355,0.0038245893516058184,31
UGC11914_rotmod.dat,2.1933052140937384,2.9999999999999996,0.0024665847000378007,58
UGC11820_rotmod.dat,0.7981495543309588,2.9999999999999996,0.002443415447468435,10
UGC11557_rotmod.dat,2.7222760623740268,2.9999999998069,0.06399704796023843,6
UGC11455_rotmod.dat,1.1570152932041675,2.999999998529368,0.00832154898163063,31
UGC10310_rotmod.dat,1.532567808280861,0.48696499175583113,0.002680301921558406,7
UGC09992_rotmod.dat,0.32305150619008327,1.9010409347192636,0.00340221162109161,5
UGC09133_rotmod.dat,0.7088474319135272,1.529964879212225,0.03280264972301988,47
UGC09037_rotmod.dat,2.999999999999763,0.3393074635557031,0.013214578439995048,18
UGC08837_rotmod.dat,2.9999999999999996,0.5478928611475171,0.007059749754030291,7
UGC08699_rotmod.dat,1.3133142321862956,0.8125029623591288,0.005134026361373896,32
UGC08550_rotmod.dat,0.8474031979636605,1.4832775421790276,0.0022421632109940904,11
UGC08490_rotmod.dat,0.7393959721178479,0.878465901168617,0.0013033343420423569,30
UGC08286_rotmod.dat,0.9020210620974028,1.064781447783321,0.003315305611754808,17
UGC07866_rotmod.dat,1.16803083622579,2.999999999999995,0.0024988414622280257,7
UGC07690_rotmod.dat,1.1351551645718376,0.537121356762698,0.007019097942292244,7
UGC07608_rotmod.dat,1.723860897409741,0.8494654440426213,0.0007610813010684921,8
UGC07603_rotmod.dat,1.6155707029331912,0.6241353052679601,0.002248706831031085,12
UGC07577_rotmod.dat,2.999999999995317,2.999999999997163,0.02600334712139769,7
UGC07559_rotmod.dat,2.9999999999999996,0.33445958517669666,0.002030570286652026,7
UGC07524_rotmod.dat,1.3874695057727695,0.7600354820830353,0.002074247707895566,31
UGC07399_rotmod.dat,0.8335332717870549,1.9325022788645119,0.0016880676996105797,10
UGC07323_rotmod.dat,2.5699504105917974,0.535013218729766,0.0012275752366907476,10
UGC07261_rotmod.dat,0.6307593688078547,2.9999999999999996,0.0007500368797271939,7
UGC07151_rotmod.dat,1.1784179396969805,0.9224675851299976,0.005458308664332679,11
UGC07125_rotmod.dat,1.2987257099093008,0.6966157903284671,0.0060010328350985865,13
UGC07089_rotmod.dat,1.6741800443449735,1.5755523807020146,0.0015392868628337777,12
UGC06983_rotmod.dat,1.308544265899879,0.5416665333886953,0.005262316326069534,17
UGC06930_rotmod.dat,0.8850824944329452,1.1544873723544113,0.004311473719440922,10
UGC06923_rotmod.dat,2.999999999999725,0.3352030713662608,0.005925084426239093,6
UGC06917_rotmod.dat,1.3297044731044185,0.8605814557881815,0.0023383665538096827,11
UGC06818_rotmod.dat,2.9999999999999143,0.46130564962589,0.010544419701759492,7
UGC06787_rotmod.dat,1.37270265232079,0.8910451216749282,0.007659304822883632,47
UGC06786_rotmod.dat,1.2759573172653695,0.578085520123878,0.0026820726536391382,39
UGC06667_rotmod.dat,1.8193419068777812,0.5080375754341202,0.0002502528313437903,9
UGC06628_rotmod.dat,0.6657413696818951,2.999999999998938,0.21966927898483965,5
UGC06614_rotmod.dat,2.9999999999999996,0.2751759464385292,0.005945726990328187,7
UGC06446_rotmod.dat,0.8732500129285906,0.9942713150155962,0.0026256557567109645,17
UGC06399_rotmod.dat,1.7840639261087312,0.5927805540605555,0.0005906161370632817,9
UGC05999_rotmod.dat,2.7199143872022287,0.3080862189815213,0.002176087830971671,5
UGC05986_rotmod.dat,2.301001935989927,0.31268171466210765,0.0002021811734859297,15
