galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
NGC0055,86.32000000000001,0.6493073232299177,5,NGC0055,9,2.11,0.11,2,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,"Sa96,Pu91",2.314,2.08145,4.39545,1.9324737646771533,1.9361114316748544,0.6430033441452769,0.1322946751106615,0.1214126665120343
DDO154,47.03333333333333,1.1323525167642028,3,DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",0.0265,0.3657500000000001,0.3922500000000001,1.6720978579357175,1.6724057590346852,-0.4064370477410256,-0.0188506324077354,-0.0179362714057783
NGC7814,214.0,0.0,4,NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37.2645,1.4231000000000005,38.6876,2.340245761567932,2.330413773349191,1.5875717889332932,-0.3299474599819796,-0.2948208306712019
UGC02885,298.0,0.0,4,UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201.7625,53.29975000000001,255.06225,2.4616485680634552,2.4742162640762557,2.4066461864425657,0.0702880915364696,0.02796762592597
UGC06786,221.44444444444449,5.559998223643024,9,UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",36.7035,6.689900000000001,43.3934,2.341236623238692,2.345264789261163,1.6374236797072008,-0.2835140351455383,-0.2962222274315316
UGC04278,89.08000000000001,3.0353912433160906,5,UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",0.6535,1.4842800000000005,2.13778,1.9609461957338317,1.9497802083620008,0.3299630097118001,-0.2789753503042348,-0.238800854317588
NGC4559,121.14285714285714,1.2453996981544782,7,NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,9.6885,7.728630000000001,17.41713,2.0835026198302677,2.083297812242457,1.240976593389751,0.209219414607729,0.2114216169455747
NGC4217,177.75,0.82915619758885,4,NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",42.6495,3.40746,46.05696,2.258397804095509,2.249809609401804,1.6632952688692917,0.0281509093328691,0.0590808167207872
NGC5907,215.5,1.118033988749895,4,NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",87.7125,27.96325,115.67575,2.3324384599156054,2.3334472744967503,2.063242323990439,0.1726582119863811,0.1703805952372588
NGC5033,193.2,1.7204650534085253,5,NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",55.2545,15.04762,70.30212,2.288249225571986,2.2860071220794747,1.8469684216118485,0.1088368636464145,0.1178304264350704
UGC03205,216.0,4.6475800154489,10,UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",56.821,12.87041,69.69140999999999,2.3416323357780544,2.3344537511509307,1.8431792512758864,-0.0791236691113468,-0.0531559932057117
UGC07151,74.23333333333333,1.5195028426721988,3,UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",1.142,0.81928,1.96128,1.866287339084195,1.870598962314376,0.292539599672016,0.0101736429340413,-0.0029568195540529
NGC5371,209.25,2.277608394786075,4,NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",170.1965,14.8694,185.0659,2.321184027302314,2.320665466665297,2.267326403592811,0.4155700065658876,0.4185767864874736
NGC3198,148.33333333333334,1.2472191289246473,9,NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",19.1395,14.45577,33.59527,2.1763806922432702,2.1712387562612694,1.526278135797503,0.1740922470848871,0.1932245625876407
UGC02953,263.5652173913044,3.3728595396903422,23,UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",129.759,10.21174,139.97073999999998,2.423081958297231,2.4208880960140107,2.1460372586449896,-0.0572662982767688,-0.0485970622337692
UGC07524,80.62857142857145,1.8084834101804623,7,UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",1.218,2.36607,3.58407,1.9003671286564705,1.9064889650680532,0.5543764832213532,0.1544354872556966,0.1350177880646593
NGC6015,154.11111111111111,3.0711722135745005,9,NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,16.0645,7.75922,23.82372,2.187802638718419,2.18783395163396,1.3770095761783523,-0.0145819491807006,-0.0133167334668449
NGC3769,117.33333333333331,3.2998316455372216,3,NGC3769,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,"VS01,SV98",9.3395,7.35357,16.69307,2.074084689028244,2.0694214087584686,1.222536214537287,0.2232708321363179,0.2408709785608045
UGC06917,108.66666666666669,2.6246692913372702,3,UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",3.416,2.6905900000000003,6.106590000000001,2.0362295440862948,2.0360963453482768,0.7857987621908882,-0.0828666309677739,-0.0808562234981165
UGC03546,192.5,1.707825127659933,6,UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",50.668,3.55775,54.22575,2.2942457161381182,2.28443073384452,1.7342055674839971,-0.0246138416210741,0.0105079462150148
NGC5985,291.85714285714283,4.085814184592883,7,NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",104.364,15.40938,119.77338,2.467756051244033,2.465170326618191,2.0783603055012234,-0.2790685642996502,-0.2690992437165453
