galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
UGC05721,78.7,0.4690415759823436,5,UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",0.2655,0.7474600000000001,1.01296,1.9014583213961125,1.8959747323590648,0.0055922961773959,-0.3981133072221268,-0.3774800603591051
NGC2903,181.14285714285717,2.8996833043120622,7,NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",40.9315,3.3941600000000003,44.32566,2.266231696689893,2.258021213531457,1.6466552108769956,-0.01551602413754,0.0141011683550711
NGC0289,164.5,5.090841449767088,6,NGC0289,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,36.0325,36.53377,72.56627,2.2121876044039577,2.216165902285993,1.8607348003579685,0.3850153113868597,0.3726302900979663
UGC05716,73.39999999999999,0.9416297927883702,3,UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,0.294,1.4550200000000002,1.7490200000000002,1.8639173769578603,1.8656960599160703,0.2427947756536201,-0.0313948280766294,-0.0357809246221674
NGC0100,88.84,1.861827059637928,5,NGC0100,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",1.616,2.6467,4.262700000000001,1.944975908412048,1.9486085498764365,0.6296847689762021,0.0758437901911711,0.064964490221283
NGC0300,93.96,1.3720058308914007,5,NGC0300,7,2.08,0.1,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,"Sa96,CP90",1.461,1.2448800000000002,2.7058800000000005,1.9698816437465,1.9729430081055683,0.4323085326557604,-0.2074570614421736,-0.2163939458355511
NGC4157,185.25,0.82915619758885,4,NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",52.81,10.940580000000002,63.75058000000001,2.2664668954402414,2.267758216651366,1.8044841403162464,0.1415014712334379,0.1383261057452571
NGC2976,83.01666666666667,3.835108284723594,6,NGC2976,5,3.58,0.18,2,61.0,10.0,3.371,0.019,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,Si03,1.6855,0.22876,1.91426,1.931457870689005,1.91916529134874,0.2820009245048948,-0.225202917269729,-0.1811058481969896
UGC06446,83.125,1.849831073368596,4,UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",0.494,1.83407,2.3280700000000003,1.9148718175400503,1.919731658311161,0.366996034464401,-0.0829860382178684,-0.0980653633585473
NGC2841,284.1,5.629387178015027,10,NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",94.0605,13.000750000000002,107.06125,2.4545399849648186,2.453471233722936,2.0296323097081004,-0.2822012224831081,-0.2774517543843142
NGC3877,170.0,0.816496580927726,3,NGC3877,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,"VS01,SV98",36.2675,1.9723900000000003,38.23989,2.226342087163631,2.230448921378274,1.5825166343242056,0.0579642773511777,0.0451190865553332
NGC5055,177.16666666666666,3.023059524536176,6,NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",76.461,15.59026,92.05126,2.2528530309798933,2.248382014139653,1.9640297375146891,0.3480148070257822,0.3647421503623071
