galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar
NGC3893,176.0,12.6,10,NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",29.2625,7.712670000000001,36.97517
NGC3917,137.0,5.0,17,NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",10.983,2.51104,13.49404
NGC3949,165.0,11.2,7,NGC3949,4,18.0,2.5,4,55.0,2.0,38.067,0.28,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,"VS01,SV98",19.0335,4.48343,23.516930000000002
NGC3953,223.0,6.1,8,NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",70.6505,3.76656,74.41705999999999
NGC3972,134.0,4.9,10,NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",7.1765,1.61462,8.79112
NGC3992,241.0,6.2,9,NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",113.466,22.07667,135.54267
NGC4010,124.0,5.1,12,NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",8.5965,3.76656,12.36306
NGC4013,174.0,5.0,36,NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",39.547,3.9461100000000005,43.493109999999994
NGC4051,154.0,7.4,7,NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",47.634,3.5870100000000003,51.22101
NGC4068,36.0,1.71,6,NGC4068,10,4.37,0.22,2,44.0,6.0,0.236,0.005,1.11,30.26,0.59,261.11,0.154,3.18,0.0,0.0,2,Le14,0.118,0.20482,0.32282
NGC4085,133.0,4.9,7,NGC4085,5,18.0,2.5,4,82.0,2.0,21.724,0.2,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,"VS01,SV98",10.862,1.79417,12.65617
NGC4088,171.0,7.6,12,NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",53.643,10.940580000000002,64.58358
NGC4100,158.0,8.9,24,NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",29.697,4.12566,33.82266
NGC4138,147.0,17.9,7,NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",22.0555,1.9723900000000003,24.02789
NGC4157,185.0,13.6,17,NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",52.81,10.940580000000002,63.75058000000001
NGC4183,112.0,10.2,23,NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",5.419,4.66298,10.08198
NGC4214,80.6,9.37,14,NGC4214,10,2.87,0.14,2,15.0,10.0,1.141,0.008,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,5.8,2,Le14,0.5705,0.6463800000000001,1.2168800000000002
NGC4217,177.0,8.55,19,NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",42.6495,3.40746,46.056960000000004
NGC4389,95.9,6.4,6,NGC4389,4,18.0,2.5,4,50.0,4.0,21.328,0.216,4.05,207.41,2.79,322.72,0.539,6.81,0.0,0.0,3,"VS01,SV98",10.664,0.7168700000000001,11.38087
NGC4559,120.0,5.94,32,NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,9.6885,7.728630000000001,17.41713
NGC5005,264.0,22.0,18,NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,89.36,1.7024000000000001,91.0624
NGC5033,194.0,4.0,22,NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",55.2545,15.04762,70.30212
NGC5055,174.0,3.39,28,NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",76.461,15.59026,92.05126
NGC5371,209.0,4.0,19,NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",170.1965,14.8694,185.0659
NGC5585,89.6,2.7,24,NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",1.4715,2.2383900000000003,3.7098900000000006
NGC5907,215.0,5.0,19,NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",87.7125,27.96325,115.67575000000001
NGC5985,288.0,4.0,33,NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",104.364,15.40938,119.77338
NGC6015,152.0,7.7,44,NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,16.0645,7.75922,23.823719999999998
NGC6195,246.0,5.75,23,NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,195.538,27.80631,223.34431
NGC6503,115.0,4.0,31,NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",6.4225,2.3195200000000002,8.74202
NGC6674,242.0,4.0,15,NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",107.327,42.779450000000004,150.10645
NGC6789,46.7,4.1,4,NGC6789,11,3.52,0.18,2,43.0,7.0,0.1,0.003,0.52,59.27,0.31,319.76,0.017,0.97,0.0,0.0,2,Le14,0.05,0.02261,0.07261000000000001
NGC6946,155.0,19.0,58,NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,33.0865,7.5411,40.6276
NGC7331,238.0,7.0,36,NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",125.3155,14.71911,140.03461
NGC7793,94.5,5.2,46,NGC7793,7,3.61,0.18,2,47.0,9.0,7.05,0.026,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,0.0,1,"Di08,Sa96,CP90",3.525,1.14513,4.67013
NGC7814,214.0,4.87,18,NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37.2645,1.4231000000000003,38.687599999999996
PGC51017,18.3,1.9,6,PGC51017,11,13.6,1.4,2,66.0,3.0,0.155,0.014,1.28,15.03,0.53,93.94,0.201,4.29,18.6,1.3,3,Le14,0.0775,0.26733,0.34483
UGC00128,129.0,4.67,22,UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",6.01,9.883230000000001,15.89323
UGC00191,81.0,1.04,9,UGC00191,9,17.1,5.1,1,45.0,5.0,2.004,0.063,2.5,50.21,1.58,207.41,1.343,10.03,0.0,0.0,1,"KN08,vZ97",1.002,1.7861900000000002,2.78819
UGC00634,107.5,1.63,4,UGC00634,9,30.9,7.7,1,37.0,8.0,2.989,0.146,4.26,26.11,2.45,126.13,3.663,16.78,0.0,0.0,2,vZ97,1.4945,4.87179,6.366289999999999
UGC00731,73.9,3.22,12,UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",0.1615,2.40331,2.56481
UGC00891,60.15,0.67,5,UGC00891,9,10.2,3.1,1,60.0,5.0,0.374,0.017,1.76,19.09,1.43,113.98,0.428,6.23,0.0,0.0,2,vZ97,0.187,0.56924,0.75624
UGC01230,103.0,10.0,11,UGC01230,9,53.7,10.7,1,22.0,10.0,7.62,0.379,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,"dB02,VdH93",3.81,8.5519,12.3619
UGC01281,56.4,4.0,25,UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",0.1765,0.39102,0.56752
UGC02023,47.9,8.69,5,UGC02023,10,10.4,3.1,1,19.0,10.0,1.308,0.033,2.73,27.59,1.55,121.57,0.477,6.5,0.0,0.0,2,"Sw09,Sw02",0.654,0.63441,1.28841
UGC02259,88.3,2.3,8,UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",0.8625,0.65702,1.51952
UGC02455,53.1,3.64,8,UGC02455,10,6.92,2.08,1,51.0,5.0,3.649,0.034,1.49,254.0,0.99,795.85,0.803,7.11,0.0,0.0,3,"Sw09,Sw02",1.8245,1.0679900000000002,2.8924900000000004
UGC02487,332.0,13.4,17,UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",244.9775,23.890790000000003,268.86829
UGC02885,298.0,10.0,19,UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201.7625,53.29975000000001,255.06225
UGC02916,182.0,10.8,43,UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",62.0765,30.95309,93.02959
UGC02953,263.0,5.04,115,UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",129.759,10.21174,139.97073999999998
UGC03205,220.0,4.09,48,UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",56.821,12.87041,69.69140999999999
UGC03546,191.0,14.6,30,UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",50.668,3.55775,54.22575
UGC03580,127.0,1.92,47,UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",6.633,5.8121,12.4451
UGC04278,91.3,8.07,25,UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",0.6535,1.4842800000000003,2.1377800000000002
UGC04305,34.6,3.11,22,UGC04305,10,3.45,0.17,2,40.0,10.0,0.736,0.007,1.23,76.71,1.16,88.07,0.69,7.41,34.5,2.7,3,"Sw09,Sw02",0.368,0.9177,1.2856999999999998
