galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
NGC3953,223.0,6.1,8,NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",70.6505,3.76656,74.41705999999999,2.3439990690571615,2.3483048630481607,10.871672508321927,-0.04582495655414398,-0.062390575986329466
NGC3972,134.0,4.9,10,NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",7.1765,1.61462,8.79112,2.1228709228644354,2.1271047983648077,9.944044208274432,-0.218685149591467,-0.23053926064520702
NGC3992,241.0,6.2,9,NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",113.466,22.07667,135.54267,2.3820170425748683,2.3820170425748683,11.13207603637886,0.08481330010530463,0.0822638306699961
NGC4010,124.0,5.1,12,NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",8.5965,3.76656,12.36306,2.0996806411092503,2.093421685162235,10.092125976953195,0.008551106486372362,0.033191831630277946
NGC4013,174.0,5.0,36,NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",39.547,3.9461100000000005,43.493109999999994,2.2377949932739227,2.2405492482825995,10.638420463253928,0.08342524251016492,0.07433101785605523
NGC4051,154.0,7.4,7,NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",47.634,3.5870100000000003,51.22101,2.1958996524092336,2.187520720836463,10.709448137839987,0.29745265576100444,0.3274295507263041
NGC4085,133.0,4.9,7,NGC4085,5,18.0,2.5,4,82.0,2.0,21.724,0.2,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,"VS01,SV98",10.862,1.79417,12.65617,2.1189257528257768,2.123851640967086,10.102302299716028,-0.04696116259030525,-0.0611116122111337
NGC4088,171.0,7.6,12,NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",53.643,10.940580000000002,64.58358,2.2347702951609163,2.2329961103921536,10.81012211518025,0.26545097894737957,0.2719659997216102
NGC4100,158.0,8.9,24,NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",29.697,4.12566,33.82266,2.1992064791616577,2.1986570869544226,10.52920775991146,0.10592521460189808,0.1089530037975468
NGC4138,147.0,17.9,7,NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",22.0555,1.9723900000000003,24.02789,2.168202746842631,2.167317334748176,10.380715635073955,0.06325692429465235,0.06806438706048823
NGC4157,185.0,13.6,17,NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",52.81,10.940580000000002,63.75058000000001,2.2664668954402414,2.2671717284030137,10.804484140316246,0.15162423027330973,0.14898771006289024
NGC4183,112.0,10.2,23,NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",5.419,4.66298,10.08198,2.0437551269686796,2.0492180226701815,10.003545831576814,0.11085934491917016,0.0963828018559223
NGC4214,80.6,9.37,14,NGC4214,10,2.87,0.14,2,15.0,10.0,1.141,0.008,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,5.8,2,Le14,0.5705,0.6463800000000001,1.2168800000000002,1.9036325160842376,1.9063350418050906,9.085247753326724,-0.3291636716189803,-0.33133354212415433
NGC4217,177.0,8.55,19,NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",42.6495,3.40746,46.056960000000004,2.258397804095509,2.2479732663618064,10.663295268869291,0.03797727469918932,0.07371582009594313
NGC4559,120.0,5.94,32,NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,9.6885,7.728630000000001,17.41713,2.0835026198302673,2.0791812460476247,10.240976593389751,0.21262153417782947,0.2309363000519653
NGC5005,264.0,22.0,18,NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,89.36,1.7024000000000001,91.0624,2.4186326873540653,2.4216039268698313,10.959339092194675,-0.2129024012962688,-0.22639274672863152
NGC5033,194.0,4.0,22,NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",55.2545,15.04762,70.30212,2.288249225571986,2.287801729930226,10.846968421611848,0.11975973072452994,0.12063988899097033
NGC5055,174.0,3.39,28,NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",76.461,15.59026,92.05126,2.2528530309798933,2.2405492482825995,10.96402973751469,0.35763750191639154,0.3999402921168169
NGC5371,209.0,4.0,19,NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",170.1965,14.8694,185.0659,2.321184027302314,2.320146286111054,11.267326403592811,0.4277026340067849,0.429944417514335
NGC5585,89.6,2.7,24,NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",1.4715,2.2383900000000003,3.7098900000000006,1.9556877503135057,1.9523080096621253,9.56936103276835,-0.02272849998798243,-0.005066201816022797
NGC5907,215.0,5.0,19,NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",87.7125,27.96325,115.67575000000001,2.3324384599156054,2.3324384599156054,11.063242323990439,0.1852042369814093,0.18365575968666015
NGC5985,288.0,4.0,33,NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",104.364,15.40938,119.77338,2.467756051244033,2.459392487759231,11.078360305501223,-0.26155205672159276,-0.2371167110803878
NGC6015,152.0,7.7,44,NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,16.0645,7.75922,23.823719999999998,2.187802638718419,2.1818435879447726,10.377009576178352,-0.007348683769148323,0.014483147492667214
NGC6195,246.0,5.75,23,NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,195.538,27.80631,223.34431,2.4008832155483626,2.3909351071033793,11.348974892706314,0.23731698147696356,0.26854294812974366
NGC6503,115.0,4.0,31,NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",6.4225,2.3195200000000002,8.74202,2.0655797147284485,2.060697840353612,9.941611795734016,-0.025567708087356422,-0.004966627157866554
NGC6674,242.0,4.0,15,NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",107.327,42.779450000000004,150.10645,2.3825573219087857,2.383815365980431,11.176399354063552,0.1272925033380865,0.12041269279855626
NGC6946,155.0,19.0,58,NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,33.0865,7.5411,40.6276,2.2011238972073794,2.1903316981702914,10.608821167944376,0.1789939741419211,0.2171512274849423
NGC7331,238.0,7.0,36,NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",125.3155,14.71911,140.03461,2.3783979009481375,2.376576957056512,11.146235386209625,0.11132572538865304,0.11510144835333591
NGC7814,214.0,4.87,18,NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37.2645,1.4231000000000003,38.687599999999996,2.3402457615679317,2.330413773349191,10.587571788933293,-0.31711465736622735,-0.2850631129605148
UGC00128,129.0,4.67,22,UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",6.01,9.883230000000001,15.89323,2.111598524880394,2.110589710299249,10.201212168360524,0.07695844841936328,0.08333244747140611
UGC00731,73.9,3.22,12,UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",0.1615,2.40331,2.56481,1.865103974641128,1.8686444383948257,9.409055198294674,0.1261517464024493,0.12188274828319301
UGC01230,103.0,10.0,11,UGC01230,9,53.7,10.7,1,22.0,10.0,7.62,0.379,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,"dB02,VdH93",3.81,8.5519,12.3619,2.015778756389041,2.012837224705172,10.092085226100666,0.2948893978099836,0.30983388881327123
UGC01281,56.4,4.0,25,UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",0.1765,0.39102,0.56752,1.741939077729199,1.7512791039833422,8.753981171127867,-0.10852832507452703,-0.13022313705061528
UGC02259,88.3,2.3,8,UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",0.8625,0.65702,1.51952,1.9355072658247128,1.9459607035775686,9.181706420659776,-0.3415018487277628,-0.37092764858012295
UGC02487,332.0,13.4,17,UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",244.9775,23.890790000000003,268.86829,2.5211380837040362,2.5211380837040362,11.429539585079066,-0.09257959378786751,-0.0979379186056164
UGC02885,298.0,10.0,19,UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201.7625,53.29975000000001,255.06225,2.4616485680634552,2.4742162640762553,11.406646186442565,0.08758025918594115,0.0402724580902003
