galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
UGC07399,103.0,4.82,10,UGC07399,8,8.43,2.53,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,"Sw09,Sw02",0.578,0.99085,1.5688499999999999,2.012837224705172,2.012837224705172,9.19558142205319,-0.5915741904668206,-0.5866699152342054
UGC07524,82.3,3.9,31,UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",1.218,2.36607,3.58407,1.9003671286564703,1.9153998352122699,9.554376483221354,0.15111067826996205,0.10667166246628135
UGC07603,63.0,2.89,12,UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",0.188,0.34314,0.53114,1.7895807121644254,1.7993405494535817,8.725209009242763,-0.2999138261326859,-0.3240119239218391
UGC07690,56.9,4.31,7,UGC07690,10,8.11,2.43,1,41.0,5.0,0.858,0.018,0.86,184.01,0.57,395.21,0.39,5.5,57.4,3.2,2,"Sw09,Sw02",0.429,0.5187,0.9477,1.7589118923979736,1.7551122663950711,8.97667088062481,0.05622873578066212,0.079305596574331
UGC08286,83.8,2.0,17,UGC08286,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",0.6275,0.8538600000000001,1.48136,1.9159272116971158,1.9232440186302764,9.170660613561282,-0.2857158180729442,-0.30397682773291024
UGC08490,77.6,3.69,30,UGC08490,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,"Sw09,Sw02",0.5085,0.9576,1.4661,1.8954225460394079,1.8898617212581885,9.166163593747834,-0.22022505953339966,-0.19385736040728396
UGC08550,57.5,2.0,11,UGC08550,7,6.7,2.0,1,90.0,3.0,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,"Sw09,Sw02",0.1445,0.38304,0.52754,1.7551122663950711,1.7596678446896306,8.722255395004163,-0.18521763408093506,-0.19075124455847536
UGC08699,182.0,7.09,41,UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",25.151,4.97154,30.12254,2.2610248339923973,2.2600713879850747,10.478891589755571,-0.15539314345916289,-0.15222616855903937
UGC09037,150.0,16.0,22,UGC09037,6,83.6,8.4,1,65.0,5.0,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,Ha14,34.307,25.37374,59.68074,2.182699903336043,2.1760912590556813,10.775834199449937,0.40889290785966104,0.43305811097563485
UGC09133,227.0,2.8,68,UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",141.463,44.45924,185.92224,2.355643050220869,2.3560258571931225,11.269331343142353,0.3120899299163806,0.30875860264558064
UGC09992,33.4,5.66,5,UGC09992,10,10.7,3.21,1,30.0,10.0,0.336,0.017,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,"Sw09,Sw02",0.168,0.42294000000000004,0.59094,1.526339277389844,1.5237464668115646,8.771543387832645,0.6449323106043732,0.668561273304741
UGC10310,72.4,5.06,7,UGC10310,9,15.2,4.6,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,"Sw09,Sw02",0.8705,1.59068,2.46118,1.8536982117761744,1.8597385661971468,9.391143377273732,0.14717077247088994,0.13454880435770278
UGC11455,272.0,6.39,36,UGC11455,6,78.6,11.8,1,90.0,1.0,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,SG06,187.161,17.735550000000003,204.89655,2.4303975913869666,2.4345689040341987,11.311534645914243,0.09913646274377896,0.0812881912994321
UGC11914,297.0,2.13,65,UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,"No07,No05",75.014,1.18104,76.19503999999999,2.459543258280413,2.4727564493172123,10.881926701382376,-0.4299532538169757,-0.4794348243138842
UGC12506,226.0,11.6,31,UGC12506,6,100.6,10.1,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,Ha14,69.7855,47.28948,117.07498,2.369215857410143,2.3541084391474008,11.068464092263296,0.0648951437803067,0.11447471295129041
UGC12632,73.1,2.81,15,UGC12632,9,9.77,2.93,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,"Sw09,Sw02",0.6505,2.3195200000000002,2.9700200000000003,1.8555191556678001,1.8639173769578603,9.472759373849332,0.22257141203419906,0.20181705834167296
UGCA442,56.5,2.83,8,UGCA442,9,4.35,0.22,2,64.0,7.0,0.14,0.005,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,Co00,0.07,0.34979000000000005,0.41979000000000005,1.7512791039833422,1.7520484478194385,8.623032088852037,-0.2713573559531941,-0.26381372380148527
UGCA444,37.6,7.1,36,UGCA444,10,0.98,0.05,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,Ke07,0.006,0.08911000000000001,0.09511000000000001,1.568201724066995,1.575187844927661,7.978226181674526,-0.2912723577666716,-0.301377391452859
