galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar
NGC0024,107.0,2.0,6,NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",1.9445,0.8990800000000001,2.84358
NGC0247,106.0,1.1547005383792515,6,NGC0247,7,3.7,0.19,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,"Sa96,Ca90",3.666,2.32218,5.98818
KK98-251,34.03333333333334,0.5436502143433384,3,KK98-251,10,6.8,2.04,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,0.0425,0.15295,0.19545
F583-4,67.16666666666667,2.245489305746572,3,F583-4,5,53.3,10.7,1,55.0,10.0,1.715,0.185,3.31,24.94,1.93,83.34,0.641,7.8,0.0,0.0,1,"KN08,dB96",0.8575,0.85253,1.7100300000000002
F583-1,82.96000000000001,3.6886854026875247,5,F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",0.493,2.82758,3.32058
NGC2841,284.1,5.629387178015027,10,NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",94.0605,13.000750000000002,107.06125
IC2574,64.44285714285715,2.597172717100073,7,IC2574,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",0.508,1.3778800000000002,1.8858800000000002
UGC08286,83.7,0.4062019202317959,4,UGC08286,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",0.6275,0.8538600000000001,1.48136
UGC08490,77.61666666666667,0.6693695209341075,6,UGC08490,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,"Sw09,Sw02",0.5085,0.9576,1.4661
UGC09037,150.6,5.2,5,UGC09037,6,83.6,8.4,1,65.0,5.0,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,Ha14,34.307,25.37374,59.68074
UGC09133,228.78571428571428,5.9061538297968905,14,UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",141.463,44.45924,185.92224
UGC11914,286.46153846153845,6.535293350079829,13,UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,"No07,No05",75.014,1.18104,76.19503999999999
UGC08699,180.33333333333334,3.2659863237109037,9,UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",25.151,4.97154,30.12254
UGC11557,81.39999999999999,2.6166135875720506,3,UGC11557,8,24.2,6.05,1,30.0,10.0,12.101,0.212,4.18,106.86,2.75,337.93,2.605,16.66,0.0,0.0,2,"Sw02,dB01",6.0505,3.4646500000000002,9.51515
UGC11455,269.5,4.847679857416329,8,UGC11455,6,78.6,11.8,1,90.0,1.0,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,SG06,187.161,17.735550000000003,204.89655
UGC08550,57.53333333333333,0.2054804667656324,3,UGC08550,7,6.7,2.0,1,90.0,3.0,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,"Sw09,Sw02",0.1445,0.38304,0.52754
UGC12632,73.1,0.08164965809277376,3,UGC12632,9,9.77,2.93,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,"Sw09,Sw02",0.6505,2.3195200000000002,2.9700200000000003
UGC12732,93.05,3.939860403618381,4,UGC12732,9,13.2,4.0,1,39.0,6.0,1.667,0.048,3.12,26.84,1.98,120.46,3.66,17.41,0.0,0.0,1,"Sw09,Sw02",0.8335,4.867800000000001,5.701300000000001
UGC12506,230.28571428571428,3.989782869648269,7,UGC12506,6,100.6,10.1,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,Ha14,69.7855,47.28948,117.07498
UGCA444,35.900000000000006,1.6093476939431082,8,UGCA444,10,0.98,0.05,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,Ke07,0.006,0.08911000000000001,0.09511000000000001
UGC06983,108.5,0.5,4,UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",2.649,3.9461100000000005,6.59511
UGC07125,65.16666666666667,0.2494438257849279,3,UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",1.356,6.156569999999999,7.512569999999999
UGC07603,62.833333333333336,1.0274023338281628,3,UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",0.188,0.34314,0.53114
UGC07524,80.62857142857145,1.8084834101804625,7,UGC07524,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",1.218,2.36607,3.58407
UGC07151,74.23333333333333,1.5195028426721988,3,UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",1.142,0.81928,1.96128
UGC06917,108.66666666666667,2.6246692913372702,3,UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",3.416,2.6905900000000003,6.106590000000001
UGC05829,64.96666666666665,3.256105376400186,3,UGC05829,10,8.64,2.59,1,34.0,10.0,0.564,0.019,2.91,10.59,1.99,63.22,1.023,7.87,0.0,0.0,2,"Sw09,Sw02",0.282,1.36059,1.64259
UGC07089,76.8,2.2759613353482044,3,UGC07089,8,18.0,2.5,4,80.0,3.0,3.585,0.089,3.9,37.4,2.26,520.99,1.214,9.29,0.0,0.0,2,"VS01,SV98",1.7925,1.61462,3.40712
UGC06786,221.44444444444446,5.559998223643024,9,UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",36.7035,6.689900000000001,43.3934
UGC05986,109.33333333333333,2.0548046676563256,3,UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",2.3475,3.54711,5.89461
UGC06614,203.66666666666666,1.247219128924647,3,UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",62.175,29.111040000000003,91.28604
UGC06446,83.125,1.8498310733685959,4,UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",0.494,1.83407,2.3280700000000003
UGC06787,245.8,6.9876080790687345,15,UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",49.128,6.689900000000001,55.8179
UGC05750,76.63333333333334,2.347102232304524,3,UGC05750,8,58.7,11.7,1,64.0,10.0,3.336,0.264,8.8,6.87,3.46,124.98,1.099,16.79,0.0,0.0,1,"dB01,VdH93",1.668,1.46167,3.12967
UGC05721,78.7,0.4690415759823436,5,UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",0.2655,0.7474600000000001,1.01296
UGC05716,73.39999999999999,0.9416297927883702,3,UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,0.294,1.4550200000000002,1.7490200000000002
UGC04305,34.64,0.85463442476886,5,UGC04305,10,3.45,0.17,2,40.0,10.0,0.736,0.007,1.23,76.71,1.16,88.07,0.69,7.41,34.5,2.7,3,"Sw09,Sw02",0.368,0.9177,1.2856999999999998
UGC05253,230.93333333333334,14.689981468863587,15,UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",85.791,21.806680000000004,107.59768
UGC05005,99.5,0.37416573867739567,3,UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",2.05,4.11369,6.16369
